Code,Latitude,Longitude,Easting,Northing,Elevation
NOLA,53.23048,-1.03044,464818.77,370818.58,47
NOLB,53.23107,-1.0523,463358.71,370864.68,49
NOLC,53.22163,-1.01258,466024.54,369850.35,38
NOLD,53.21529,-1.0513,463448.73,369110.12,57
NOLE,53.25283,-1.01574,465765.82,373318.29,38
NOLF,53.24401,-1.0446,463853.48,372311.02,58
NOLG,53.23917,-1.00538,466478.12,371808.24,22
LMK,53.4573,-0.3274,511155.6,396915.93,133
CWF,52.7385,-1.30767,446840.41,315874.67,203
STNC,53.0913,-2.206198,386288.04,354916.86,234
HPK,53.95817,-1.624168,424758.94,451405.98,233
FOEL,52.8879,-3.2012,319274.86,332945.92,449
MCH1,51.99733,-2.99833,331556.09,233679.52,219
SWN1,51.51317,-1.800329,413952.1,179379.29,192
KESW,54.5885,-3.1034,328794.01,522037.49,282
WLF1,53.2894,-4.3966,240347.03,379614.92,66
ESK,55.3165,-3.2052,323611.04,603152.87,258
