ID,Date,Time,Lat,Lon,Depth,Mag,mt1,mt2,mt3,mt4,mt5,mt6
20140629105408,2014-06-29, 10:55:08,53.2399,-1.0303,502.8,0.68,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20141010024347,2014-10-10, 02:44:47,53.234,-1.0229,529.9,1.37,-0.05,-0.68,0.73,0.21,-0.08,0.67
20140624132652,2014-06-24, 13:27:52,53.2397,-1.0273,568.1,1.55,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20141002195333,2014-10-02, 19:54:32,53.236,-1.0248,605.9,1.18,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20140724144451,2014-07-24, 14:45:25,53.2369,-1.0208,620,1.48,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20140902204525,2014-09-02, 20:46:25,53.2382,-1.0249,627.2,0.95,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20140624195639,2014-06-24, 19:57:38,53.2405,-1.0313,660.7,1.01,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20140626230937,2014-06-26, 23:10:36,53.2404,-1.029,670.8,1.25,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20141024051904,2014-10-24, 05:20:03,53.2352,-1.0224,683.2,1.19,0.12,-0.57,0.45,0.11,0.54,-0.66
20140722153749,2014-07-22, 15:38:56,53.2374,-1.023,692.7,2.05,0.57,-0.38,-0.19,-0.11,0.56,-0.65
20141023204056,2014-10-23, 20:41:55,53.2349,-1.0248,702.6,1.15,0.37,-0.37,0,0.05,0.7,-0.61
20140717144824,2014-07-17, 14:49:24,53.2366,-1.0227,728,2.03,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20140814012627,2014-08-14, 01:27:26,53.2372,-1.022,732.1,1.57,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20141007210434,2014-10-07, 21:05:33,53.2353,-1.0246,738.5,1.31,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20140810201317,2014-08-10, 20:14:16,53.2375,-1.0237,741.2,1.12,0.01,0,0,0.67,-0.75,0
20140814012628,2014-08-14, 01:27:30,53.2323,-1.0249,742.2,2.1,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20140723025760,2014-07-23, 02:59:05,53.237,-1.0225,742.3,0.73,   NaN,   NaN,   NaN,   NaN,   NaN,   NaN 
20140712170154,2014-07-12, 17:02:53,53.2374,-1.0219,744,1.8,0.65,-0.69,0.05,0.09,-0.49,-0.55
